State,Abbreviation ,Trump,DeSantis,Margin
Alabama,AL,35,53,-18
Alaska,AK,,,
Arizona,AZ,46.5,28,18.5
Arkansas,AR,58,29,29
California,CA,29.7,57,-27.3
Colorado,CO,,,
Connecticut,CT,,,
Delaware,DE,,,
Florida,FL,38.2,54,-15.8
Georgia,GA,44.2,44,0.2
Hawaii,HI,,,
Idaho,ID,,,
Illinois,IL,51,23,28
Indiana,IN,39,28,11
Iowa,IA,39.25,33.75,5.5
Kansas,KS,38.3,31.7,6.6
Kentucky,KY,,,
Louisiana,LA,65,29,36
Maine,ME,,,
Maryland,MD,38.7,26,12.7
Massachusetts,MA,51,24,27
Michigan,MI,43.5,44.5,-1
Minnesota,MN,,,
Mississippi,MS,52,35,17
Missouri,MO,39.3,32.3,7
Montana,MT,56,28,28
Nebraska,NE,,,
Nevada,NV,41,34,7
New Hampshire,NH,37.2,36.4,0.8
New Jersey,NJ,,,
New Mexico,NM,,,
New York,NY,,,
North Carolina,NC,40.8,34.4,6.4
North Dakota,ND,,,
Ohio,OH,43,30,13
Oklahoma,OK,55,26,29
Oregon,OR,,,
Pennsylvania,PA,40,37.8,2.2
Rhode Island,RI,54,38,16
South Carolina,SC,43.8,34,9.8
South Dakota,SD,,,
Tennessee,TN,54,41,13
Texas,TX,41,35.8,5.2
Utah,UT,30.5,29,1.5
Vermont,VT,,,
Virginia,VA,39,28,11
Washington,WA,,,
West Virginia,WV,,,
Wisconsin,WI,,,
Wyoming,WY,,,